title,age_limit,rating,rating_count,genre,director,actor
이터널 로드,15세 관람가,0.00,0,드라마,안티 주시 안닐라,토미 코펠라
몬스터 싱어: 매직 인 파리,전체 관람가,8.68,25,"애니메이션, 뮤지컬, 모험",비보 버거론,"바네사 파라디, 션 레논, 아담 골드버그, 대니 휴스턴, 프랑수아 클루제"
오마주,12세 관람가,8.32,28,드라마,신수원,"이정은, 권해효, 탕준상, 이주실, 김호정"
셧 인,15세 관람가,7.50,4,스릴러,D.J. 카루소,"이정은, 권해효, 탕준상, 이주실, 김호정"
인연을 긋다,12세 관람가,10.00,2,드라마,이정섭,"정영숙, 김지영, 조은숙"
명색이 아프레걸,전체 관람가,10.00,1,공연실황,김광보,이소연
그대가 조국,12세 관람가,7.53,"5,941",다큐멘터리,이승준,이소연
안녕하세요,12세 관람가,8.75,75,드라마,차봉주,"김환희, 유선, 이순재"
피는 물보다 진하다,15세 관람가,7.54,101,액션,김희성,"조동혁, 이완, 임정은"
더 노비스,15세 관람가,8.00,17,스릴러,로런 해더웨이,"이사벨 퍼만, 에이미 포사이스"
플레이그라운드,12세 관람가,8.70,33,드라마,로라 완델,"마야 반데베크, 군터 뒤레"
히든,15세 관람가,8.52,23,"액션, 드라마",한종훈,"정혜인, 공형진"
메이드인세운상가,15세 관람가,0.00,0,공연실황,이상식,"정혜인, 공형진"
봉명주공,전체 관람가,8.78,9,다큐멘터리,김기성,"홍덕은, 지은숙, 지명환"
완벽한 축사를 준비하는 방법,15세 관람가,6.48,21,코미디,로랑 티라르,"벤자민 라베른헤, 사라 지로도, 줄리아 피아톤, 카이안 코잔디, 프랑소와 모렐, 구일라인 론데즈"
범죄도시2,15세 관람가,9.54,"15,163","범죄, 액션",이상용,"마동석, 손석구, 최귀화"
"아치의 노래, 정태춘",전체 관람가,9.40,97,다큐멘터리,고영재,"정태춘, 박은옥"
매스,12세 관람가,8.14,73,드라마,프란 크랜즈,"제이슨 아이삭스, 앤 도드, 마샤 플림튼, 리드 버니"
쏴!쏴!쏴!쏴!탕,12세 관람가,6.40,5,"뮤지컬, 드라마",김재한,"백서빈, 김설희, 김범석"
퍼스트 러브,15세 관람가,6.27,11,"미스터리, 드라마",츠츠미 유키히코,"키타가와 케이코, 나카무라 토모야, 요시네 쿄코, 쿠보즈카 요스케"
"파리, 13구",청소년 관람불가,7.60,103,"드라마, 멜로/로맨스",자크 오디아르,"노에미 메를랑, 루시 장, 마키타 삼바, 제니 베스"
나를 만나는 길,전체 관람가,8.93,70,다큐멘터리,"마크 J. 프랜시스, 맥스 퓨","노에미 메를랑, 루시 장, 마키타 삼바, 제니 베스"
데드캠핑 더라이브,청소년 관람불가,5.09,86,"스릴러, 액션",김현우,남지현
허셀프,15세 관람가,7.70,10,드라마,필리다 로이드,"클레어 던, 해리엇 월터, 캐시 벨튼, 콘레스 힐, 몰리 매캔"
크로스 더 라인,청소년 관람불가,7.37,19,스릴러,다비드 빅토리,"마리오 카사스, 밀레나 스밋, 페르난도 발디비에소"
어부바,전체 관람가,5.97,349,가족,최종학,"정준호, 최대철, 이엘빈"
민스미트 작전,12세 관람가,7.37,296,"드라마, 전쟁",존 매든,"콜린 퍼스, 매튜 맥퍼딘, 켈리 맥도날드"
극장판 엉덩이 탐정: 수플레 섬의 비밀,전체 관람가,6.73,63,"애니메이션, 가족, 코미디",자코 아키후미,"콜린 퍼스, 매튜 맥퍼딘, 켈리 맥도날드"
액션동자,전체 관람가,8.78,18,액션,최영민,"홍정민, 윤성우, 최현진, 함희수"
카사네 : 빼앗는 얼굴,15세 관람가,7.25,4,"판타지, 스릴러",사토 유이치,"츠치야 타오, 아사노 타다노부, 요시네 쿄코, 요코야마 유"
닥터 스트레인지: 대혼돈의 멀티버스,12세 관람가,7.32,"14,874","액션, 판타지, 모험",샘 레이미,"베네딕트 컴버배치, 엘리자베스 올슨"
배드 가이즈,전체 관람가,8.67,506,"애니메이션, 범죄, 액션",피에르 페리펠,"샘 록웰, 마크 마론, 크레이그 로빈슨, 안소니 라모스, 아콰피나, 리차드 아요아데, 재지 비츠, 릴리 싱, 알렉스 볼스타인"
우연과 상상,15세 관람가,8.18,275,"드라마, 멜로/로맨스",하마구치 류스케,"후루카와 코토네, 현리, 나카지마 아유무, 모리 카츠키, 시부카와 키요히코, 카이 쇼우마, 우라베 후사코, 카와이 아오바"
스프링 블라썸,12세 관람가,7.30,20,드라마,수잔 랭동,"수잔 랭동, 아르노 발로아"
평평남녀,12세 관람가,5.96,28,"드라마, 멜로/로맨스",김수정,"이태경, 이한주, 이봄, 서갑숙"
서울괴담,15세 관람가,4.31,578,"공포, 미스터리",홍원기,"김도윤, 봉재현, 서지수, 설아, 셔누, 아린, 알렉사, 엑시, 오륭, 이민혁, 이수민, 이열음, 이영진, 이호원, 정원창, 주학년"
니 부모 얼굴이 보고 싶다,15세 관람가,7.77,"1,184",드라마,김지훈,설경구
파리의 피아니스트: 후지코 헤밍의 시간들,전체 관람가,8.56,9,다큐멘터리,코마츠 소이치로,설경구
내가 처음으로 사랑한 소녀,15세 관람가,8.30,40,"멜로/로맨스, 드라마","오영산, 양조개",설경구
공기살인,12세 관람가,8.48,815,드라마,조용선,"김상경, 이선빈, 윤경호, 서영희"
